county,fips,RuralUrban,ALLCancer,COLONCancer,LUNGCancer,BREASTCancer,PROSTATECancer
Mississippi,28000,N/A,472.8,46,55.2,125.6,139
US (SEER+NPCR),0,N/A,448.6,36.7,48.2,131.3,116.4
Adams,28001,Rural,435.5,38.6,47.5,128.7,154.2
Alcorn,28003,Rural,433.7,38.3,49.2,112.4,110.2
Amite,28005,Rural,439.4,43.5,56.2,100.9,173
Attala,28007,Rural,468.2,57.9,47.9,148.9,99.6
Benton,28009,Urban,452.9,35.6,* ,126.8,128.5
Bolivar,28011,Rural,434.4,53.5,51.5,95.8,175.9
Calhoun,28013,Rural,504.8,74.3,76.1,106.7,119.7
Carroll,28015,Rural,437,40.9,38.3,108.3,118.9
Chickasaw,28017,Rural,521,66.5,47.4,133.5,182.4
Choctaw,28019,Rural,412.4,27.8,46.2,117.4,108.8
Claiborne,28021,Rural,423.2,39.3,* ,127,128.3
Clarke,28023,Rural,462.9,63.7,43.1,102.9,153.6
Clay,28025,Rural,483.8,55.2,28.3,145.5,146.2
Coahoma,28027,Rural,554.2,61.8,70.2,138.7,179.4
Copiah,28029,Urban,460.6,46.2,45.2,130.9,126.3
Covington,28031,Rural,560.1,57.2,51.6,166.2,162.9
DeSoto,28033,Urban,455.6,44.8,61.7,119.7,125.2
Forrest,28035,Urban,511.5,41.2,63.2,122,172.2
Franklin,28037,Rural,421.3,54.8,* ,76.2,95.6
George,28039,Rural,439.4,47.1,65.9,98.7,97.4
Greene,28041,Rural,416.5,42.6,48.1,92.3,110.8
Grenada,28043,Rural,519.8,47.4,68.6,149.1,141.2
Hancock,28045,Urban,474.4,47.9,62.9,133,113.3
Harrison,28047,Urban,498.9,50.1,70.8,114.2,125.6
Hinds,28049,Urban,485.8,47.5,55.6,138.5,170.1
Holmes,28051,Urban,540.9,72.9,44.2,144.2,222
Humphreys,28053,Rural,538.7,91,* ,196.7,106.8
Issaquena,28055,Rural,532.4,* ,* ,* ,* 
Itawamba,28057,Rural,521.7,52.9,63.2,118.7,146.6
Jackson,28059,Urban,481.8,45,67.1,125.4,115.9
Jasper,28061,Rural,489.7,36.1,55,120.5,175.9
Jefferson,28063,Rural,493.6,55.6,* ,128.5,210.9
Jefferson Davis,28065,Rural,474.8,57.7,45,101.6,168.7
Jones,28067,Rural,476.8,41.6,50.2,105.4,178.4
Kemper,28069,Rural,433.4,50.5,44.3,162.9,151.6
Lafayette,28071,Rural,424.4,41.9,49.6,141,103.5
Lamar,28073,Urban,462.7,39.9,47.4,119.1,149.8
Lauderdale,28075,Rural,422.6,45.2,46.3,111.7,132.6
Lawrence,28077,Rural,498,47.3,46.7,102.7,169.2
Leake,28079,Rural,429.7,55.7,39.6,109.5,96.7
Lee,28081,Rural,517.9,44.9,54.9,142.1,164.6
Leflore,28083,Rural,499.6,64.1,60.2,145,170.4
Lincoln,28085,Rural,434.3,41.1,53.5,111.2,111.6
Lowndes,28087,Rural,470.3,41.8,52.3,130.8,129.4
Madison,28089,Urban,488.1,36,37.8,160.1,169.4
Marion,28091,Rural,491.2,45.5,57.4,122.2,156.7
Marshall,28093,Urban,468.6,48.6,66.8,108.9,155.6
Monroe,28095,Rural,516,41.8,55.7,157,150.3
Montgomery,28097,Rural,462.9,43.3,68.2,156.1,131.1
Neshoba,28099,Rural,439,58.8,38.8,104.1,121.3
Newton,28101,Rural,451.2,53.9,52.5,114.3,118.6
Noxubee,28103,Rural,432.9,50.2,41.5,125.7,127.2
Oktibbeha,28105,Rural,420.9,38.2,32,122.4,143
Panola,28107,Rural,471.3,52.6,73.2,110.4,114.5
Pearl River,28109,Rural,494.7,44.4,62.2,123.8,143.7
Perry,28111,Urban,491.2,39.6,78.3,99.3,147
Pike,28113,Rural,506.6,45.4,44.9,118.7,184.1
Pontotoc,28115,Rural,525.8,46.4,60.8,141.5,108.4
Prentiss,28117,Rural,470.7,42.1,79.2,103.7,91.4
Quitman,28119,Rural,621.8,82.7,79.7,180.9,126
Rankin,28121,Urban,424.8,34.3,46.6,125.9,111.8
Scott,28123,Urban,448.4,54.4,51.6,117.3,115.6
Sharkey,28125,Rural,537.6,* ,* ,154.5,179
Simpson,28127,Urban,508.3,44.8,68.9,137.7,131.7
Smith,28129,Rural,517.6,43.6,58.3,143.3,167.8
Stone,28131,Urban,475.2,35.7,56.4,124.7,124.8
Sunflower,28133,Rural,452.3,53.9,38,111.1,167.5
Tallahatchie,28135,Rural,483.9,64.6,43.6,128,124.4
Tate,28137,Urban,471.8,41.2,66.4,114.1,110.1
Tippah,28139,Rural,477.7,47.6,52.7,105.4,115.8
Tishomingo,28141,Rural,528.6,47.8,64,177.7,110.6
Tunica,28143,Urban,538.5,53.1,94.5,132.3,144.9
Union,28145,Rural,484.9,44.1,60.7,112.4,120.4
Walthall,28147,Rural,475.7,48.5,47.4,133.6,173
Warren,28149,Rural,432.2,39.9,55.5,128.7,114.4
Washington,28151,Rural,476.1,47.4,52.4,135.6,179.2
Wayne,28153,Rural,457.5,54.3,53.7,130.4,138.9
Webster,28155,Rural,481.2,74.1,53,112.3,109
Wilkinson,28157,Rural,461.3,48.2,* ,110,189.1
Winston,28159,Rural,434.7,30.1,30.8,82.7,152
Yalobusha,28161,Rural,512.6,51.2,57.8,126.7,121.2
Yazoo,28163,Urban,508.3,58.5,62.7,128.9,148.1
